cbsa,Education_Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Income_Total,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Occupation_Total,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,metropolitan_area,city,state
49620,274651,40039,115268,66741,33720,18883,159432,8547,15802,19940,22024,10346,4460,3414,1775,207379,1812,17603,40820,11486,27872,10740,3001,10915,16611,37274,14356,8699,6190,58336,28279,57091,714,62959.0,2005,True,York-Hanover,PA
49660,391142,55138,172199,96051,45812,21942,236779,11783,21386,22143,23294,12085,4583,3256,2483,259515,2670,15664,53477,9677,33233,13889,3637,11160,15500,58292,22195,9703,10418,68824,45150,64237,800,80504.0,2005,True,Youngstown-Warren-Boardman,OH-PA
49700,92889,20311,26061,32061,10007,4449,52227,2563,4838,3986,6488,4085,1528,1550,598,61521,4263,6919,5989,1723,9126,3167,691,2057,5161,11194,3984,3381,3866,16007,10404,14948,3075,17087.0,2005,True,Yuba City,CA
49740,106582,32424,31417,28318,9281,5142,66877,3333,6037,5795,5723,2662,1075,831,585,61333,4441,5974,3206,2374,7391,4898,651,2972,3531,10788,5556,3330,6221,15114,11252,14182,2700,18085.0,2005,True,Yuma,AZ
10180,91197,14654,29092,28216,12987,6248,60532,2243,5318,5338,4143,2941,935,417,680,64574,2296,4867,3659,1669,5657,3142,697,3034,3702,20115,5038,5153,5545,20464,16205,14345,114,13446.0,2005,True,Abilene,TX
10420,459122,50315,157327,122400,84401,44679,276416,12037,23695,29084,32318,18064,8113,8388,5783,339713,1055,18633,57628,15927,39395,17182,6942,21088,29548,76202,29872,16106,10135,115982,55763,91310,615,76043.0,2005,True,Akron,OH
10500,97837,20989,31663,27057,11274,6854,59384,2780,5920,6644,5183,2449,1448,1122,1364,67737,1382,6145,8819,2454,7241,3799,938,3860,3899,14999,4523,4485,5193,20332,9349,16687,662,20707.0,2005,True,Albany,GA
10580,558528,54692,172488,158929,94617,77802,337662,15600,31192,37683,46556,26040,13831,9231,7526,413406,1936,26303,29716,12156,45335,18789,10318,32822,38587,107374,28578,15766,45726,164139,62757,111896,934,73680.0,2005,True,Albany-Schenectady-Troy,NY
10740,509828,71455,135499,149848,86353,66673,319677,14005,26744,36389,32866,18378,10586,8068,6902,373876,1796,33488,24678,12245,43848,14033,9610,22952,51721,83600,35229,17011,23665,140064,62329,98839,750,71894.0,2005,True,Albuquerque,NM
10780,90863,16053,33720,23824,12384,4882,55401,2276,4014,3922,5083,2490,1535,920,1284,60960,1733,4147,5559,1698,7092,3221,1069,2560,4030,18440,3889,2332,5190,20385,10401,15645,435,14094.0,2005,True,Alexandria,LA
10900,527661,70073,194698,130843,85120,46927,302968,13930,28844,35699,41919,20745,10688,11336,8063,378439,2672,25041,58456,15833,46437,21144,9617,22455,34147,84993,29166,16883,11595,127645,56304,102842,691,90957.0,2005,True,Allentown-Bethlehem-Easton,PA-NJ
11100,141103,24435,37188,47547,21478,10455,88509,3629,6629,7144,8317,5604,3070,838,1700,111915,1666,10991,11395,5006,13263,7379,1536,6914,8116,23611,10773,7427,3838,34450,20477,28508,264,28216.0,2005,True,Amarillo,TX
11260,208713,16641,54693,74773,38757,23849,124902,6011,11623,14282,18178,12745,7312,6306,3834,162921,4413,15995,3186,4066,19484,14052,5426,9833,15327,32975,14385,8277,15502,59495,25190,41532,802,35902.0,2005,True,Anchorage,AK
11340,117428,25127,41451,30249,13332,7269,68919,2456,5832,7220,6199,3440,1279,1158,1012,77010,213,6337,17444,3477,8491,2551,2033,3480,4158,15849,6951,3696,2330,20935,11359,20098,77,24541.0,2005,True,Anderson,SC
11460,204721,16102,33965,47363,52249,55042,131268,5558,9240,14351,15582,9801,6952,7319,6209,162397,692,8505,21432,3762,14573,4006,2789,8377,18467,58270,12393,5524,3607,81335,24561,33518,178,22805.0,2005,True,Ann Arbor,MI
11540,138263,12536,50477,40659,23970,10621,83180,4863,8734,11872,13819,6289,2234,1913,1219,114444,1551,8944,29196,4529,12775,4027,2035,8647,7341,20110,8058,4411,2820,36748,14215,28529,482,34470.0,2005,True,Appleton,WI
11700,268920,39727,75336,79703,49479,24675,167464,7302,14064,17390,16138,7342,3458,2828,3462,183550,2042,19507,22961,4150,21693,6371,3278,8927,14301,41919,20643,9720,8038,57938,33734,43647,855,47376.0,2005,True,Asheville,NC
12020,98317,17447,26447,20791,18202,15430,68468,4219,5447,6211,5185,3106,1227,971,1085,79507,1745,4921,8644,1736,10674,2736,1867,3723,7627,22108,7678,2775,3273,31280,13375,17987,971,15894.0,2005,True,Athens-Clarke County,GA
12060,3104099,412154,807331,819430,706162,359022,1781766,81878,154477,204954,237654,143064,70682,75425,74437,2430592,8119,222178,229847,102702,291536,163333,91188,202332,312422,402032,180305,116138,108460,909892,332477,669123,4736,514364.0,2005,True,Atlanta-Sandy Springs-Marietta,GA
12100,176201,28957,59833,45230,29804,12377,101584,5551,9285,11441,12291,8253,3107,3556,3301,129043,1398,8336,4660,3187,14598,6341,1222,6027,10132,20634,39693,5544,7271,35257,38269,32568,915,22034.0,2005,True,Atlantic City,NJ
12220,68920,11264,17671,20889,10866,8230,50793,1881,3228,5023,4996,2215,1147,676,606,56989,692,4236,7092,1149,7402,1294,1305,3978,3821,15243,6274,2528,1975,19158,8201,15091,664,13875.0,2005,True,Auburn-Opelika,AL
12260,323344,56463,99503,94747,46840,25791,199470,9917,15615,20200,21358,13270,4496,5655,3912,225680,3460,17754,30590,6771,24766,14952,4679,10038,17450,52895,19945,11789,10591,72279,37867,52011,1768,61755.0,2005,True,Augusta-Richmond County,GA-SC
12420,893362,116275,186114,241895,233215,115863,540685,25311,38967,58730,67874,44059,23848,19326,19844,732328,3577,68888,78274,16843,84007,24755,20090,50331,97137,138644,63319,36716,49747,305929,105001,181502,514,139382.0,2005,True,Austin-Round Rock,TX
12540,415190,115421,118745,115563,43559,21902,231566,11988,14983,22724,23269,13538,7613,5728,4075,293969,40213,23169,14143,12452,37655,14286,4232,12697,22290,54541,22284,13273,22734,75379,51264,71337,23048,72941.0,2005,True,Bakersfield,CA
12580,1704931,234356,466447,440806,327995,235327,1002709,44176,78041,111525,134723,92069,57544,48950,42396,1283642,4595,93690,85076,40107,143482,60519,28823,107546,159263,277121,91468,63607,128345,518119,195774,349823,2175,217751.0,2005,True,Baltimore-Towson,MD
12620,97206,11236,35528,28115,13829,8498,60822,3090,5462,6597,5494,2538,1195,1216,1002,70167,1547,5370,5388,2655,8334,4200,1497,3007,4602,23497,4241,2932,2897,23649,13444,16916,547,15611.0,2005,True,Bangor,ME
12700,165005,10514,46291,48874,37765,21561,100254,5012,10622,11665,13256,8568,3968,3615,3910,104097,1089,9595,3991,3974,14593,2762,1893,6770,12055,24122,11538,5723,5992,33826,23826,28104,702,17639.0,2005,True,Barnstable Town,MA
12940,442480,70263,153894,113772,67236,37315,273980,11319,22647,27614,29888,18730,7413,4974,5604,330611,3924,32765,33836,11413,36556,16947,6075,20456,31320,67194,28866,16579,24680,102943,58651,87651,1787,79579.0,2005,True,Baton Rouge,LA
12980,88865,12007,31043,30463,10125,5227,54821,2883,4559,5266,5671,3426,1164,626,614,61835,752,2737,14958,1835,8356,2490,807,3510,3494,12831,4372,2645,3048,15232,10311,17505,250,18537.0,2005,True,Battle Creek,MI
13020,72724,9868,23736,26125,8795,4200,45043,2486,4307,4943,4455,2547,1286,316,569,50246,419,2798,8670,1775,7594,2017,744,2629,3383,11239,4560,2156,2262,14830,9575,13634,130,12077.0,2005,True,Bay City,MI
13140,235818,36730,89102,71665,27959,10362,144562,6638,11861,13278,15758,7727,2788,1956,1564,156787,2424,14999,22180,4566,18228,7964,2348,7458,10973,34505,13065,8398,9679,43740,29102,38287,128,45530.0,2005,True,Beaumont-Port Arthur,TX
13380,114667,10561,28324,38894,24112,12776,74183,3933,6346,7541,8924,4361,2364,1516,1640,91019,2885,6442,10250,2986,11876,3451,2667,5325,6242,19613,10767,4808,3707,28682,16081,25218,1531,19507.0,2005,True,Bellingham,WA
13460,96669,11937,21693,34955,20317,7767,58589,3491,6815,8421,6717,3045,1325,1609,844,69831,1627,10368,6173,2159,9234,2018,2433,6439,5442,12043,5188,3952,2755,22465,9577,17906,641,19242.0,2005,True,Bend,OR
13740,97334,8488,31144,31241,19360,7101,59428,2842,5225,6488,6019,2693,1563,894,706,77556,2124,5903,3592,3960,11907,4206,2042,5495,5861,16107,8566,5073,2720,23513,13854,23285,194,16710.0,2005,True,Billings,MT
13780,163562,22507,55721,44811,23558,16965,101519,4834,8475,9791,10054,5302,2681,1740,826,113622,1085,6895,17944,4985,12766,3645,2930,4735,8254,31705,8532,4628,5518,39538,19400,27598,384,26702.0,2005,True,Binghamton,NY
13820,713285,111286,218651,198529,117364,67455,427776,20557,39231,42400,45558,25830,13697,10846,10312,506161,7083,41444,49975,29660,60536,29804,13776,43098,45628,107074,34112,23625,20346,167491,72753,142785,1109,122023.0,2005,True,Birmingham-Hoover,AL
13900,66520,7228,16881,22314,14562,5535,40365,2071,3716,4756,4931,1770,840,530,592,55804,2758,4217,3185,1204,6607,3717,1478,3399,3556,13407,4443,3525,4308,19045,9098,15037,784,11840.0,2005,True,Bismarck,ND
13980,86609,13908,23606,21142,14063,13890,57871,1398,5385,5393,4334,2506,1787,938,321,67575,1031,2874,9674,1632,5989,2468,2604,3164,4675,21336,5676,3742,2710,27364,10304,15811,187,13909.0,2005,True,Blacksburg-Christiansburg-Radford,VA
14020,101861,12070,34139,25788,15682,14182,68692,2216,6231,5146,7067,2607,1481,920,909,76832,1055,5752,10131,1396,7735,3826,2177,3079,5064,23299,7095,2986,3237,26556,12535,18407,274,19060.0,2005,True,Bloomington,IN
14060,91348,6084,24217,25412,25550,10085,58846,2302,5776,6720,8241,4131,2646,2041,1003,77737,1804,4208,5522,2269,7914,2048,1652,15389,7056,17121,7778,3279,1697,31631,13086,20237,581,12202.0,2005,True,Bloomington-Normal,IL
14260,335895,39448,93661,113782,62937,26067,204078,10888,20904,25384,24901,11528,5729,3931,3630,263686,5770,25844,31485,10451,29313,11649,6051,18607,29473,48488,19112,10205,17238,89557,40231,71826,3641,58431.0,2005,True,Boise City-Nampa,ID
14460,2928558,306269,763061,670527,668268,520433,1682319,60929,130434,181875,229042,168933,97185,96834,98776,2200142,6547,143007,216741,70031,239836,86637,66661,193964,299293,532417,161297,96558,87153,960815,316067,552595,3249,367416.0,2005,True,Boston-Cambridge-Quincy,MA-NH
14500,178698,10454,25571,39803,60615,42255,113405,3397,9401,10908,12643,10361,5790,7762,7293,146101,1149,9107,17644,4728,15455,2901,6193,8043,24915,30625,13861,7343,4137,73067,18002,34651,473,19908.0,2005,True,Boulder,CO
14740,153728,12264,39850,59905,26547,15162,92477,4057,10028,10288,13570,7290,3459,3160,2073,103006,494,6674,13294,2141,12954,3485,1300,5474,12486,21663,9075,4350,9616,38299,17918,25314,225,21250.0,2005,True,Bremerton-Silverdale,WA
14860,591730,75797,142307,119810,147382,106434,324735,13012,22073,32502,40858,29359,21333,22118,42015,428470,901,34486,47172,14926,46192,13224,15005,57021,62366,79602,27978,18769,10828,181375,60801,112647,525,73122.0,2005,True,Bridgeport-Stamford-Norwalk,CT
15180,204625,79435,49550,47802,18978,8860,110166,3440,6698,6281,7314,3310,1164,1146,1139,122431,1662,10172,8040,4592,17558,5686,1735,5592,7997,32739,11630,7516,7512,31879,30051,33703,905,25893.0,2005,True,Brownsville-Harlingen,TX
