# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,year,cbsa_code
332,217,112,3,.,.,140,77.0,44.0,.,.,313,.,14,5,2005,43320
355,235,116,4,.,.,108,77.0,46.0,.,.,321,.,24,10,2005,43420
365,195,152,16,2,.,154,84.0,49.0,.,10,282,.,26,47,2005,46060
316,188,113,15,.,.,140,80.0,46.0,.,10,170,.,.,136,2005,49740
365,74,228,43,16,4,208,119.0,65.0,.,14,94,19,238,.,2005,12580
356,269,60,23,4,.,164,87.0,39.0,.,.,356,.,.,.,2005,15700
267,118,123,24,2,.,164,100.0,54.0,.,.,172,.,95,.,2005,25180
365,69,210,60,25,1,206,139.0,71.0,.,17,114,87,145,2,2005,37980
263,131,102,23,6,1,206,105.0,51.0,.,.,193,.,70,.,2005,41540
365,104,198,45,18,.,187,126.0,61.0,.,35,127,32,166,5,2005,47900
233,169,46,11,7,.,174,87.0,42.0,.,2,175,.,56,.,2005,12700
365,112,217,28,8,.,195,97.0,58.0,.,19,87,33,226,.,2005,14460
230,130,77,18,5,.,164,100.5,48.0,.,.,142,.,88,.,2005,38340
365,187,149,21,8,.,182,93.0,50.0,1,18,119,54,172,1,2005,39300
365,181,153,22,9,.,197,97.0,51.0,.,4,207,11,143,.,2005,44140
226,176,30,16,3,1,201,90.0,41.0,.,.,157,.,69,.,2005,47240
365,226,117,18,4,.,195,87.0,45.0,.,13,193,1,155,3,2005,49340
182,104,54,22,2,.,179,105.0,47.0,.,.,182,.,.,.,2005,10300
361,235,103,19,4,.,200,93.0,43.0,.,.,290,.,71,.,2005,11460
117,70,42,5,.,.,124,77.0,40.0,.,.,.,.,117,.,2005,13020
361,281,68,11,1,.,151,80.0,39.0,.,.,318,.,43,.,2005,15620
365,90,175,82,17,1,202,128.0,74.0,.,13,80,114,152,6,2005,19820
361,262,74,25,.,.,150,84.0,35.0,.,.,160,125,75,1,2005,22420
365,181,146,30,8,.,182,105.0,51.0,.,30,131,.,204,.,2005,24340
362,191,129,32,8,2,208,108.0,49.0,.,.,152,.,210,.,2005,26090
119,107,12,.,.,.,70,52.0,11.0,.,.,.,.,119,.,2005,26340
195,156,36,3,.,.,133,74.0,38.0,.,.,174,.,21,.,2005,27020
239,122,98,18,1,.,156,97.0,50.0,.,.,155,.,84,.,2005,28020
243,129,87,26,1,.,174,105.0,48.0,.,.,161,.,82,.,2005,29620
175,125,38,10,2,.,187,93.0,41.0,.,.,175,.,.,.,2005,31220
115,50,57,6,2,.,160,90.0,52.0,.,.,.,.,115,.,2005,33780
239,148,61,20,9,1,208,108.0,46.0,.,.,163,.,76,.,2005,34740
239,117,90,27,5,.,177,112.0,51.0,.,.,168,.,71,.,2005,35660
114,72,38,4,.,.,125,75.0,38.0,.,.,.,.,114,.,2005,40980
125,98,26,1,.,.,126,67.0,29.0,.,.,.,.,125,.,2005,42300
333,180,114,33,6,.,177,105.0,47.0,.,94,165,.,74,.,2005,43780
183,121,39,18,5,.,177,115.0,44.0,.,.,183,.,.,.,2005,45900
331,253,73,4,1,.,152,64.0,38.0,.,.,115,.,216,.,2005,14660
365,260,99,6,.,.,133,69.0,41.0,.,.,183,.,180,2,2005,20260
362,321,40,.,1,.,154,51.0,34.0,.,18,271,.,51,22,2005,22020
