year,cbsa_code,PM2.5_sample_duration,PM2.5_arithmetic_mean,PM2.5_standard_deviation,PM2.5_ninety_ninth_percentile,PM2.5_seventy_fifth_percentile,Ozone_sample_duration,Ozone_arithmetic_mean,Ozone_standard_deviation,Ozone_ninety_ninth_percentile,Ozone_seventy_fifth_percentile,Carbon_monoxide_sample_duration,Carbon_monoxide_arithmetic_mean,Carbon_monoxide_standard_deviation,Carbon_monoxide_ninety_ninth_percentile,Carbon_monoxide_seventy_fifth_percentile,Sulfur_dioxide_sample_duration,Sulfur_dioxide_arithmetic_mean,Sulfur_dioxide_standard_deviation,Sulfur_dioxide_ninety_ninth_percentile,Sulfur_dioxide_seventy_fifth_percentile,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
2014.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.05197641666666667,0.00853275,0.06949999999999999,0.05800000000000002,0.0,0.38067700000000004,0.2251095,1.2999999999999998,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6794520547945205,0.3095890410958904,0.010958904109589041,0.0,0.0,126.0,74.0,45.0,1.0,0.0,336.0,0.0,27.0,1.0
2015.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.05407369999999999,0.008919150000000002,0.07470000000000002,0.05949999999999998,0.0,0.36396599999999996,0.19151675,1.025,0.4,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6356164383561644,0.33972602739726027,0.024657534246575342,0.0,0.0,133.0,80.0,47.0,0.0,0.0,333.0,0.0,29.0,3.0
2016.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.049707916666666664,0.00814,0.06716666666666667,0.055000000000000014,0.0,0.23825200000000002,0.131573,0.75,0.3,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6721311475409836,0.319672131147541,0.00819672131147541,0.0,0.0,129.0,71.0,45.0,0.0,0.0,284.0,0.0,81.0,1.0
2017.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.04521558333333334,0.011187583333333332,0.06891666666666667,0.053583333333333344,0.0,0.20961049999999998,0.1031455,0.63,0.21500000000000002,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.5780821917808219,0.4,0.019178082191780823,0.0027397260273972603,0.0,154.0,77.0,47.0,0.0,0.0,271.0,0.0,94.0,0.0
2018.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.0481925,0.01223091666666667,0.07216666666666667,0.05758333333333335,0.0,0.22508899999999998,0.1185215,0.675,0.275,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.5123287671232877,0.4602739726027397,0.0273972602739726,0.0,0.0,133.0,87.0,50.0,0.0,0.0,260.0,0.0,105.0,0.0
2019.0,24540.0,1.0,7.715385,5.627495,30.9,8.3,0.0,0.041634500000000005,0.012772,0.06625,0.051250000000000004,0.0,0.21976649999999998,0.126598,0.6699999999999999,0.225,0.0,2.4754470472315697,3.1962645085076433,15.287769633498183,2.993506700596341,0.6904109589041096,0.3013698630136986,0.00821917808219178,0.0,0.0,125.0,69.0,45.0,0.0,0.0,229.0,0.0,136.0,0.0
2005.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.047464125,0.016628499999999997,0.0945,0.058625,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,6.2464597500000005,9.481634,37.325,7.65,0.6450704225352113,0.27323943661971833,0.0676056338028169,0.014084507042253521,0.0,192.0,95.0,39.0,0.0,0.0,150.0,137.0,68.0,0.0
2006.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.043764,0.012502375,0.083125,0.050875000000000004,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,6.853568000000001,8.1470945,36.275,9.125,0.6703601108033241,0.29362880886426596,0.027700831024930747,0.008310249307479225,0.0,174.0,74.0,41.0,0.0,0.0,131.0,166.0,64.0,0.0
2007.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.047517375,0.01550425,0.0895,0.056124999999999994,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,5.303485,7.4626035,35.5,6.675,0.5780821917808219,0.3561643835616438,0.057534246575342465,0.00821917808219178,0.0,164.0,93.0,47.0,0.0,0.0,132.0,66.0,167.0,0.0
2008.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.043171749999999995,0.011475875,0.07075000000000001,0.051875000000000004,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,5.53631925,7.44026675,36.4,7.275,0.5573770491803278,0.412568306010929,0.030054644808743168,0.0,0.0,143.0,77.0,47.0,0.0,0.0,105.0,73.0,188.0,0.0
